customerKey,customerSortKey,address,city,zipCode,customerType,leaseTerms,moveInDate,moveOutDate
371,LEASE#ag-0333,4785 Bunting Point,San Jose,95155,Resident,3,10/15/2005,10/15/2008
930,LEASE#dl-9737,9 Montana Street,Atlanta,30351,Resident,3,10/12/2005,10/12/2008
283,LEASE#pr-6820,5321 Raven Terrace,Fresno,93704,Resident,3,10/11/2005,10/11/2008
269,LEASE#oc-2599,8 Buell Parkway,Chico,95973,Resident,3,8/29/2005,8/29/2008
710,LEASE#lq-4870,07 Milwaukee Plaza,Fresno,93786,Resident,3,8/24/2005,8/24/2008
422,LEASE#oq-0400,7884 Garrison Trail,Sacramento,94291,Resident,3,8/8/2005,8/8/2008
871,LEASE#hs-2900,31 Lotheville Road,Chula Vista,91913,Resident,3,8/5/2005,8/5/2008
801,LEASE#vi-3290,224 Old Shore Pass,San Francisco,94121,Resident,3,8/4/2005,8/4/2008
99,LEASE#im-2000,3 Lake View Junction,San Jose,95150,Resident,3,7/24/2005,7/24/2008
169,LEASE#aa-0674,7 Kingsford Place,Fullerton,92835,Resident,2,7/17/2006,7/17/2008
619,LEASE#wi-8208,192 Erie Point,Atlanta,30336,Resident,3,7/10/2005,7/10/2008
271,LEASE#de-7659,9286 Straubel Street,San Mateo,94405,Resident,2,7/4/2006,7/4/2008
170,LEASE#er-1635,7 Mitchell Terrace,Moreno Valley,92555,Resident,2,6/29/2006,6/29/2008
313,LEASE#ia-0801,1978 Marcy Pass,Los Angeles,90081,Resident,3,6/29/2005,6/29/2008
65,LEASE#at-0157,812 Shopko Circle,Atlanta,30323,Resident,2,6/23/2006,6/23/2008
453,LEASE#eq-8350,18654 Sycamore Plaza,Atlanta,30392,Resident,3,6/19/2005,6/19/2008
910,LEASE#zk-2023,6080 Mandrake Center,Stockton,95205,Resident,2,6/14/2006,6/14/2008
319,LEASE#wf-2400,95943 Petterle Circle,Atlanta,31196,Resident,2,6/7/2006,6/7/2008
993,LEASE#vx-9021,102 Waywood Alley,Sacramento,94263,Resident,2,6/6/2006,6/6/2008
488,LEASE#fm-5080,7732 Riverside Junction,Bakersfield,93399,Resident,3,6/5/2005,6/5/2008
636,LEASE#oh-2332,35 Randy Plaza,Oxnard,93034,Resident,3,5/31/2005,5/31/2008
112,LEASE#nb-0563,650 7th Way,Van Nuys,91406,Resident,3,5/26/2005,5/26/2008
287,LEASE#eh-9267,32134 Ridgeview Street,Santa Barbara,93106,Resident,3,5/25/2005,5/25/2008
675,LEASE#oi-8862,9764 Truax Way,Fresno,93750,Resident,3,5/16/2005,5/16/2008
204,LEASE#tv-9385,8 Dawn Hill,Sacramento,94230,Resident,2,5/4/2006,5/4/2008
813,LEASE#ux-3464,9 Rockefeller Junction,San Francisco,94142,Resident,3,4/28/2005,4/28/2008
361,LEASE#qn-5465,978 Northwestern Street,San Diego,92176,Resident,2,4/27/2006,4/27/2008
866,LEASE#kh-2507,65 International Crossing,Savannah,31422,Resident,3,4/27/2005,4/27/2008
144,LEASE#dh-7329,289 Maple Crossing,Van Nuys,91406,Resident,3,4/25/2005,4/25/2008
969,LEASE#zr-6111,52265 Bartillon Pass,Los Angeles,90025,Resident,2,4/23/2006,4/23/2008
336,LEASE#dw-4815,27 Hooker Hill,Fresno,93773,Resident,2,4/14/2006,4/14/2008
358,LEASE#yz-5442,7840 Vidon Lane,Boston,2298,Resident,3,4/14/2005,4/14/2008
171,LEASE#bs-0572,6816 Vernon Crossing,Newport Beach,92662,Resident,2,4/12/2006,4/12/2008
249,LEASE#jt-7501,46994 Ronald Regan Circle,Petaluma,94975,Resident,3,4/4/2005,4/4/2008
509,LEASE#bs-1759,2 Thackeray Junction,San Francisco,94177,Resident,2,4/2/2006,4/2/2008
667,LEASE#cw-8129,6067 Towne Center,San Luis Obispo,93407,Resident,3,4/2/2005,4/2/2008
105,LEASE#oe-1548,559 Karstens Crossing,Sacramento,94280,Resident,2,3/18/2006,3/18/2008
399,LEASE#tr-4913,7 Ryan Hill,Los Angeles,90030,Resident,2,3/17/2006,3/17/2008
666,LEASE#bm-2692,31418 Ruskin Court,San Francisco,94177,Resident,2,3/15/2006,3/15/2008
391,LEASE#zc-0462,32 Anthes Circle,South Lake Tahoe,96154,Resident,2,3/7/2006,3/7/2008
985,LEASE#cj-7919,8 Menomonie Terrace,Los Angeles,90071,Resident,2,3/6/2006,3/6/2008
88,LEASE#ef-8639,5624 Village Parkway,Fresno,93709,Resident,3,3/4/2005,3/4/2008
196,LEASE#za-1385,76314 Veith Terrace,Sacramento,94273,Resident,3,3/4/2005,3/4/2008
298,LEASE#xs-6492,0846 Morning Street,Atlanta,31190,Resident,2,3/2/2006,3/2/2008
201,LEASE#yz-7538,0149 Kennedy Drive,Pasadena,91131,Resident,2,2/28/2006,2/28/2008
388,LEASE#ev-3167,7 Doe Crossing Court,Los Angeles,90040,Resident,3,2/17/2005,2/17/2008
620,LEASE#nc-0233,0529 Stephen Way,Atlanta,31196,Resident,3,2/4/2005,2/4/2008
417,LEASE#cd-5552,16 Mosinee Hill,North Hollywood,91606,Resident,2,1/31/2006,1/31/2008
964,LEASE#vh-7983,3 Maywood Parkway,Boston,2283,Resident,2,1/26/2006,1/26/2008
664,LEASE#yg-5265,33 Ronald Regan Junction,Atlanta,31132,Resident,2,1/22/2006,1/22/2008
524,LEASE#mh-0075,6092 Florence Pass,Sacramento,94257,Resident,3,1/16/2005,1/16/2008
881,LEASE#dz-0945,5 Carey Pass,Los Angeles,90040,Resident,3,1/16/2005,1/16/2008
82,LEASE#ht-9534,7 Tennessee Circle,Fullerton,92640,Resident,2,1/12/2006,1/12/2008
255,LEASE#tb-5764,03474 7th Circle,Macon,31210,Resident,3,1/11/2005,1/11/2008
677,LEASE#si-9008,002 Bellgrove Lane,Savannah,31416,Resident,3,1/9/2005,1/9/2008
644,LEASE#pa-0848,3 Briar Crest Parkway,Atlanta,31132,Resident,2,1/5/2006,1/5/2008
726,LEASE#xo-7312,32 Paget Hill,Waltham,2453,Resident,2,12/28/2005,12/28/2007
771,LEASE#zz-9505,1643 Kropf Alley,Sacramento,94257,Resident,3,12/26/2004,12/26/2007
60,LEASE#to-4974,2 Dorton Lane,San Jose,95160,Resident,3,12/17/2004,12/17/2007
838,LEASE#gf-7512,86501 Hanover Point,Columbus,31904,Resident,3,12/15/2004,12/15/2007
328,LEASE#wr-6492,1 Oxford Way,Marietta,30066,Resident,3,12/12/2004,12/12/2007
81,LEASE#gh-7680,99158 Leroy Lane,Boston,2109,Resident,2,12/8/2005,12/8/2007
544,LEASE#oc-6741,39 Lerdahl Avenue,Redwood City,94064,Resident,3,12/8/2004,12/8/2007
45,LEASE#ep-8623,7 Mallory Place,Boston,2216,Resident,3,12/7/2004,12/7/2007
506,LEASE#ev-5699,4 Southridge Lane,San Diego,92170,Resident,3,12/7/2004,12/7/2007
252,LEASE#vc-0829,35139 Thackeray Crossing,San Diego,92127,Resident,2,12/4/2005,12/4/2007
750,LEASE#da-0913,60 Warrior Circle,Bakersfield,93399,Resident,3,11/23/2004,11/23/2007
629,LEASE#iy-5935,620 Division Center,Glendale,91210,Resident,3,11/16/2004,11/16/2007
721,LEASE#jc-9843,82 Helena Crossing,San Francisco,94142,Resident,2,11/8/2005,11/8/2007
475,LEASE#of-9044,4990 Glacier Hill Point,San Jose,95155,Resident,3,11/7/2004,11/7/2007
777,LEASE#ad-5656,4790 Atwood Parkway,Pasadena,91125,Resident,2,11/6/2005,11/6/2007
538,LEASE#wg-1550,18 Montana Center,Oakland,94616,Resident,2,11/1/2005,11/1/2007
982,LEASE#lv-8369,916 Steensland Junction,Fresno,93704,Resident,3,10/27/2004,10/27/2007
163,LEASE#up-1178,8474 Mandrake Place,Santa Monica,90410,Resident,2,10/26/2005,10/26/2007
889,LEASE#hj-7027,7 Oriole Point,San Francisco,94142,Resident,3,10/22/2004,10/22/2007
998,LEASE#cu-0220,5 Troy Drive,Garden Grove,92645,Resident,3,10/20/2004,10/20/2007
375,LEASE#hz-9260,2317 Nevada Street,Los Angeles,90005,Resident,3,10/14/2004,10/14/2007
819,LEASE#yx-0756,8 Derek Circle,Whittier,90605,Resident,2,10/14/2005,10/14/2007
203,LEASE#af-9980,7851 Merry Way,Los Angeles,90045,Resident,3,10/13/2004,10/13/2007
776,LEASE#cl-8829,86 Morningstar Court,Pasadena,91199,Resident,2,10/11/2005,10/11/2007
462,LEASE#ya-1806,9510 Lotheville Junction,Orange,92668,Resident,2,10/10/2005,10/10/2007
2,LEASE#sn-7743,98878 Graedel Pass,Atlanta,31165,Resident,2,10/9/2005,10/9/2007
552,LEASE#zv-0614,765 Arapahoe Hill,San Mateo,94405,Resident,3,10/8/2004,10/8/2007
654,LEASE#xq-3732,472 Bultman Junction,Decatur,30089,Resident,3,10/7/2004,10/7/2007
348,LEASE#hq-2501,7851 Erie Court,Springfield,1129,Resident,3,10/5/2004,10/5/2007
923,LEASE#cp-4486,94467 Brown Place,Bakersfield,93381,Resident,2,10/1/2005,10/1/2007
723,LEASE#ss-8054,6 Amoth Drive,Boston,2283,Resident,2,9/22/2005,9/22/2007
901,LEASE#sw-8849,32550 Tennessee Junction,San Jose,95118,Resident,3,9/9/2004,9/9/2007
498,LEASE#lh-1221,20766 Arizona Parkway,San Diego,92145,Resident,2,9/3/2005,9/3/2007
563,LEASE#oh-4703,4 Lukken Drive,San Diego,92132,Resident,2,9/3/2005,9/3/2007
735,LEASE#ah-0652,38 Orin Drive,Savannah,31416,Resident,3,9/1/2004,9/1/2007
931,LEASE#jd-4786,0202 Graedel Pass,Pomona,91797,Resident,2,8/29/2005,8/29/2007
967,LEASE#qk-1268,60163 Moose Circle,Oceanside,92056,Resident,3,8/28/2004,8/28/2007
631,LEASE#xw-1084,084 Muir Road,Brockton,2305,Resident,3,8/27/2004,8/27/2007
278,LEASE#ex-8004,6401 Cottonwood Hill,Atlanta,30328,Resident,3,8/26/2004,8/26/2007
335,LEASE#of-6998,57335 Clarendon Drive,Marietta,30066,Resident,2,8/24/2005,8/24/2007
266,LEASE#fi-1895,88274 Morrow Trail,Oxnard,93034,Resident,3,8/20/2004,8/20/2007
754,LEASE#yu-7131,15091 Carpenter Parkway,Whittier,90610,Resident,3,8/20/2004,8/20/2007
992,LEASE#nb-6869,98 Anhalt Avenue,Savannah,31410,Resident,3,8/20/2004,8/20/2007
503,LEASE#vg-4736,043 Erie Plaza,Los Angeles,90030,Resident,3,8/19/2004,8/19/2007
714,LEASE#it-5950,13124 Ilene Point,Atlanta,30380,Resident,3,8/15/2004,8/15/2007
588,LEASE#jj-9879,50940 Hovde Lane,Atlanta,30340,Resident,3,8/14/2004,8/14/2007
928,LEASE#ym-4905,4 Tony Circle,San Francisco,94137,Resident,3,8/14/2004,8/14/2007
727,LEASE#ek-8564,19960 Northport Center,San Mateo,94405,Resident,2,8/12/2005,8/12/2007
429,LEASE#ko-1656,92 Crownhardt Court,Woburn,1813,Resident,3,8/4/2004,8/4/2007
722,LEASE#tj-9484,8386 Oak Valley Plaza,Atlanta,30375,Resident,2,7/29/2005,7/29/2007
236,LEASE#ah-0655,84 Waubesa Road,Columbus,31998,Resident,3,7/22/2004,7/22/2007
531,LEASE#md-8977,972 Blue Bill Park Way,Salinas,93907,Resident,3,7/21/2004,7/21/2007
650,LEASE#tb-1227,5 Utah Crossing,Atlanta,30356,Resident,3,7/21/2004,7/21/2007
760,LEASE#pr-4265,0 Harbort Plaza,Los Angeles,90101,Resident,2,7/20/2005,7/20/2007
132,LEASE#xw-1233,9 Bay Lane,Sacramento,95833,Resident,3,7/18/2004,7/18/2007
469,LEASE#fv-3144,39 Service Street,Sunnyvale,94089,Resident,1,7/13/2006,7/13/2007
674,LEASE#rw-3602,87 Lawn Point,Corona,92878,Resident,2,7/13/2005,7/13/2007
575,LEASE#bj-7514,9638 Rigney Point,San Francisco,94169,Resident,1,7/12/2006,7/12/2007
91,LEASE#qs-4677,077 Kenwood Court,Santa Ana,92705,Resident,3,7/8/2004,7/8/2007
405,LEASE#tk-6270,5 Dixon Parkway,Los Angeles,90050,Resident,2,7/6/2005,7/6/2007
950,LEASE#zi-1888,2 Sommers Road,San Jose,95194,Resident,2,7/5/2005,7/5/2007
239,LEASE#hb-4351,02 Saint Paul Park,Bakersfield,93386,Resident,1,7/4/2006,7/4/2007
444,LEASE#jk-8906,83394 Muir Hill,Los Angeles,90094,Resident,1,7/4/2006,7/4/2007
831,LEASE#yw-8744,15618 Schlimgen Crossing,Marietta,30066,Resident,2,7/1/2005,7/1/2007
286,LEASE#jf-0193,735 Sundown Trail,Watertown,2472,Resident,3,6/30/2004,6/30/2007
54,LEASE#be-2599,39243 Eagle Crest Center,Lynn,1905,Resident,3,6/28/2004,6/28/2007
584,LEASE#ad-9068,8745 Sutherland Lane,Oakland,94611,Resident,1,6/28/2006,6/28/2007
691,LEASE#uj-6884,352 Forest Pass,San Francisco,94147,Resident,3,6/26/2004,6/26/2007
135,LEASE#cl-2899,8 Butternut Alley,Concord,94522,Resident,1,6/24/2006,6/24/2007
8,LEASE#ra-8129,391 Talisman Hill,Bakersfield,93305,Resident,1,6/21/2006,6/21/2007
173,LEASE#am-2275,7 Dottie Place,Los Angeles,90060,Resident,1,6/17/2006,6/17/2007
690,LEASE#qo-5212,48284 Lotheville Lane,San Francisco,94137,Resident,3,6/17/2004,6/17/2007
365,LEASE#jv-4709,75750 Crescent Oaks Pass,Glendale,91210,Resident,2,6/16/2005,6/16/2007
315,LEASE#vb-7655,9724 Melrose Court,Fresno,93773,Resident,2,6/11/2005,6/11/2007
241,LEASE#zg-1504,44 Nevada Point,Athens,30610,Resident,3,6/9/2004,6/9/2007
528,LEASE#qb-4005,770 Hooker Way,Santa Clara,95054,Resident,2,6/9/2005,6/9/2007
186,LEASE#ai-0991,8 Dakota Crossing,Sacramento,95828,Resident,3,6/7/2004,6/7/2007
121,LEASE#la-6329,11307 Kenwood Court,Long Beach,90805,Resident,1,6/1/2006,6/1/2007
426,LEASE#ed-0631,7 Myrtle Junction,San Rafael,94913,Resident,3,5/31/2004,5/31/2007
569,LEASE#gw-6784,964 Aberg Plaza,Cumming,30130,Resident,1,5/30/2006,5/30/2007
863,LEASE#uj-8267,2 Farragut Court,Atlanta,30306,Resident,1,5/30/2006,5/30/2007
87,LEASE#lq-5676,26 Darwin Street,Escondido,92030,Resident,2,5/27/2005,5/27/2007
222,LEASE#gn-0250,3857 Farragut Way,Van Nuys,91406,Resident,3,5/25/2004,5/25/2007
9,LEASE#gd-2486,15 Clyde Gallagher Alley,Atlanta,30340,Resident,3,5/24/2004,5/24/2007
988,LEASE#jj-4746,90 Kedzie Drive,Brockton,2305,Resident,1,5/22/2006,5/22/2007
517,LEASE#oh-8034,25136 Spohn Place,Sacramento,94263,Resident,3,5/21/2004,5/21/2007
656,LEASE#xy-1222,485 Comanche Hill,San Jose,95113,Resident,2,5/14/2005,5/14/2007
447,LEASE#ct-1324,80 Reinke Drive,San Diego,92115,Resident,1,5/3/2006,5/3/2007
702,LEASE#xd-6398,10 Kipling Trail,Macon,31296,Resident,1,5/2/2006,5/2/2007
805,LEASE#jr-2378,053 Ludington Trail,Atlanta,30392,Resident,3,4/25/2004,4/25/2007
972,LEASE#qb-5732,61 Iowa Circle,Boston,2203,Resident,1,4/22/2006,4/22/2007
310,LEASE#ko-6425,477 Melby Center,San Diego,92127,Resident,2,4/20/2005,4/20/2007
796,LEASE#ua-6880,63 Dovetail Road,Sacramento,94286,Resident,3,4/18/2004,4/18/2007
486,LEASE#rb-2525,660 Gale Park,Long Beach,90831,Resident,2,4/15/2005,4/15/2007
780,LEASE#as-6062,0852 Heath Lane,San Jose,95108,Resident,1,4/13/2006,4/13/2007
641,LEASE#px-0158,1059 Everett Junction,Stockton,95210,Resident,2,4/9/2005,4/9/2007
401,LEASE#hs-1807,6 Anhalt Crossing,Berkeley,94705,Resident,3,4/6/2004,4/6/2007
26,LEASE#lm-1848,1 Messerschmidt Pass,Boston,2298,Resident,3,4/1/2004,4/1/2007
617,LEASE#ah-9930,01185 Manitowish Parkway,Los Angeles,90065,Resident,1,4/1/2006,4/1/2007
968,LEASE#xq-9039,0 Hanson Alley,Atlanta,31132,Resident,2,3/31/2005,3/31/2007
971,LEASE#jz-1770,281 Cascade Plaza,Visalia,93291,Resident,2,3/26/2005,3/26/2007
661,LEASE#oy-1683,4046 Randy Crossing,San Francisco,94159,Resident,1,3/25/2006,3/25/2007
833,LEASE#sf-9824,64 Eagle Crest Drive,Sacramento,95828,Resident,3,3/22/2004,3/22/2007
193,LEASE#ex-7880,9899 Buena Vista Pass,North Hollywood,91616,Resident,1,3/14/2006,3/14/2007
420,LEASE#oj-6082,10 Corscot Crossing,San Francisco,94132,Resident,2,3/11/2005,3/11/2007
898,LEASE#vw-9788,06 Hoard Center,Los Angeles,90094,Resident,2,3/9/2005,3/9/2007
291,LEASE#ys-7487,1907 Pleasure Avenue,Long Beach,90847,Resident,3,3/5/2004,3/5/2007
790,LEASE#cx-8918,4 Waubesa Pass,Sacramento,94230,Resident,3,3/4/2004,3/4/2007
580,LEASE#ml-3919,383 Burning Wood Street,San Francisco,94126,Resident,3,3/2/2004,3/2/2007
153,LEASE#tg-9956,0960 Village Point,Los Angeles,90094,Resident,1,3/1/2006,3/1/2007
226,LEASE#jj-7161,285 Valley Edge Parkway,San Francisco,94121,Resident,2,2/18/2005,2/18/2007
317,LEASE#cy-8566,30572 Dwight Street,Orange,92668,Resident,3,2/18/2004,2/18/2007
183,LEASE#pt-3551,98 Sutteridge Center,Fullerton,92835,Resident,2,2/9/2005,2/9/2007
738,LEASE#ku-1745,79203 Nelson Center,Fresno,93786,Resident,1,2/8/2006,2/8/2007
678,LEASE#kf-4099,798 Bultman Street,Sacramento,94286,Resident,2,2/3/2005,2/3/2007
296,LEASE#ku-4608,96706 Forest Junction,Sacramento,94207,Resident,3,2/2/2004,2/2/2007
464,LEASE#jo-1192,1814 Bellgrove Point,Atlanta,30343,Resident,1,1/31/2006,1/31/2007
622,LEASE#kw-3719,99189 Gina Road,Fullerton,92640,Resident,3,1/28/2004,1/28/2007
38,LEASE#zy-7354,626 Hauk Plaza,Cambridge,2142,Resident,3,1/23/2004,1/23/2007
694,LEASE#wf-5028,13403 Jenna Circle,Fresno,93786,Resident,1,1/22/2006,1/22/2007
601,LEASE#hi-0726,47 Moulton Drive,San Bernardino,92410,Resident,1,1/18/2006,1/18/2007
858,LEASE#um-1258,73926 Kensington Plaza,San Mateo,94405,Resident,3,1/17/2004,1/17/2007
443,LEASE#vw-4738,443 Riverside Hill,San Diego,92176,Resident,2,1/14/2005,1/14/2007
676,LEASE#rz-8231,66 Golden Leaf Way,Long Beach,90805,Resident,1,1/9/2006,1/9/2007
472,LEASE#fs-8089,45671 Karstens Junction,Sacramento,94250,Resident,2,1/7/2005,1/7/2007
23,LEASE#ha-9019,92859 Debs Avenue,Oakland,94611,Resident,2,1/1/2005,1/1/2007
123,LEASE#mh-6380,039 Gina Court,Northridge,91328,Resident,3,12/28/2003,12/28/2006
325,LEASE#qk-0214,72222 Pawling Crossing,Sacramento,94263,Resident,1,12/26/2005,12/26/2006
496,LEASE#yt-3425,16775 Hagan Crossing,Fresno,93709,Resident,3,12/26/2003,12/26/2006
700,LEASE#fr-8355,73 Monterey Plaza,Atlanta,30306,Resident,2,12/26/2004,12/26/2006
970,LEASE#hk-0189,23 Lerdahl Trail,Fresno,93773,Resident,3,12/25/2003,12/25/2006
324,LEASE#tr-9234,79 Donald Alley,Boston,2104,Resident,2,12/21/2004,12/21/2006
377,LEASE#go-5461,28614 Utah Pass,Fresno,93709,Resident,2,12/20/2004,12/20/2006
987,LEASE#xf-2914,9 Center Park,Brockton,2405,Resident,1,12/18/2005,12/18/2006
231,LEASE#er-2859,9250 Red Cloud Center,Salinas,93907,Resident,2,12/7/2004,12/7/2006
411,LEASE#xq-7705,8 Ronald Regan Crossing,Columbus,31998,Resident,1,12/7/2005,12/7/2006
541,LEASE#zt-5835,30395 Service Terrace,San Francisco,94137,Resident,2,12/6/2004,12/6/2006
307,LEASE#ey-7549,20968 Bellgrove Lane,San Bernardino,92410,Resident,2,11/30/2004,11/30/2006
645,LEASE#gm-8366,2626 Lake View Drive,Savannah,31422,Resident,2,11/28/2004,11/28/2006
176,LEASE#tp-8372,4685 Scott Street,Riverside,92513,Resident,3,11/24/2003,11/24/2006
117,LEASE#hb-3475,9 Farragut Street,Atlanta,31132,Resident,2,11/21/2004,11/21/2006
48,LEASE#sg-6560,55 Rockefeller Point,Atlanta,30392,Resident,1,11/20/2005,11/20/2006
354,LEASE#bc-8275,28 Riverside Drive,Long Beach,90805,Resident,2,11/20/2004,11/20/2006
757,LEASE#au-8313,52967 Derek Place,Brockton,2305,Resident,1,11/18/2005,11/18/2006
809,LEASE#hz-3145,8041 Dahle Hill,Orange,92862,Resident,2,11/9/2004,11/9/2006
943,LEASE#oe-0341,70 Buell Junction,Santa Barbara,93150,Resident,1,11/9/2005,11/9/2006
216,LEASE#pm-3135,14688 Sunnyside Road,Corona,92883,Resident,2,11/8/2004,11/8/2006
237,LEASE#cg-7306,761 Coleman Lane,San Rafael,94913,Resident,1,11/7/2005,11/7/2006
314,LEASE#qu-0380,3 7th Pass,Atlanta,31190,Resident,3,11/5/2003,11/5/2006
356,LEASE#ta-3839,4 Old Shore Trail,Redwood City,94064,Resident,2,11/4/2004,11/4/2006
513,LEASE#je-5040,0909 Shopko Center,Santa Ana,92705,Resident,1,11/3/2005,11/3/2006
124,LEASE#lh-8577,610 Hauk Avenue,San Luis Obispo,93407,Resident,2,11/1/2004,11/1/2006
501,LEASE#sj-1288,3015 Sullivan Court,Bakersfield,93305,Resident,3,10/30/2003,10/30/2006
56,LEASE#dz-1869,14 Lakewood Pass,San Jose,95138,Resident,1,10/27/2005,10/27/2006
197,LEASE#jb-1228,58692 Pankratz Plaza,San Diego,92176,Resident,3,10/26/2003,10/26/2006
618,LEASE#ta-0979,7 Coleman Alley,Atlanta,30356,Resident,2,10/21/2004,10/21/2006
214,LEASE#eo-0251,3 Del Mar Road,Los Angeles,90081,Resident,2,10/18/2004,10/18/2006
782,LEASE#ur-9731,14350 Vermont Avenue,Corona,92878,Resident,2,10/17/2004,10/17/2006
333,LEASE#ro-3788,3 Thierer Alley,Los Angeles,90020,Resident,1,10/16/2005,10/16/2006
258,LEASE#yq-3145,466 Ohio Street,Atlanta,31165,Resident,3,10/14/2003,10/14/2006
521,LEASE#sh-8833,76801 Canary Hill,San Francisco,94177,Resident,2,10/14/2004,10/14/2006
459,LEASE#ry-0823,569 Claremont Center,Irvine,92717,Resident,1,10/13/2005,10/13/2006
873,LEASE#ff-5472,0094 Algoma Crossing,Santa Cruz,95064,Resident,3,10/13/2003,10/13/2006
712,LEASE#jo-3987,71700 Vermont Crossing,Los Angeles,90055,Resident,3,10/11/2003,10/11/2006
382,LEASE#cr-0749,76 North Plaza,San Jose,95150,Resident,2,10/10/2004,10/10/2006
160,LEASE#jr-6193,62 Mesta Pass,Los Angeles,90081,Resident,3,10/6/2003,10/6/2006
519,LEASE#ha-0995,7 Ilene Park,San Diego,92191,Resident,2,10/3/2004,10/3/2006
232,LEASE#ta-8239,2836 Dovetail Plaza,Inglewood,90305,Resident,2,10/1/2004,10/1/2006
725,LEASE#jk-3277,85037 Kipling Drive,San Jose,95118,Resident,3,9/28/2003,9/28/2006
742,LEASE#qc-7097,96535 Swallow Plaza,Los Angeles,90020,Resident,3,9/27/2003,9/27/2006
707,LEASE#sq-3178,54 Hollow Ridge Junction,San Diego,92153,Resident,2,9/25/2004,9/25/2006
180,LEASE#mr-8732,693 Laurel Junction,Los Angeles,90101,Resident,2,9/22/2004,9/22/2006
57,LEASE#sm-1302,86691 Dryden Crossing,Atlanta,30340,Resident,2,9/20/2004,9/20/2006
