customer_key,unit_id,address,city,state_code,zip_code,type,lease_terms,move_in_date,move_out_date
113,yu-4122,57253 Pearson Pass,Atlanta,GA,31136,Resident,2,1/15/2012,1/15/2014
114,by-5484,6260 Ruskin Lane,Visalia,CA,93291,Resident,2,3/22/2020,3/22/2022
115,fx-0786,639 Melby Terrace,Sunnyvale,CA,94089,Resident,2,5/29/2014,5/29/2016
116,ne-1623,21481 Havey Lane,Los Angeles,CA,90015,Resident,1,3/16/2017,3/16/2018
117,ro-9395,41 Cherokee Parkway,Garden Grove,CA,92645,Resident,2,3/5/2021,3/5/2023
118,mm-7436,4 Waywood Hill,Atlanta,GA,31132,Resident,3,9/3/2016,9/3/2019
119,xl-0165,5647 Hermina Plaza,Woburn,MA,1813,Resident,2,10/7/2016,10/7/2018
120,kx-7234,2 Arapahoe Parkway,San Diego,CA,92127,Resident,1,6/8/2021,6/8/2022
121,mm-7973,6242 Thompson Point,Modesto,CA,95397,Resident,2,10/7/2016,10/7/2018
122,tb-1245,06307 Hoard Road,Fresno,CA,93762,Resident,2,5/2/2021,5/2/2023
123,be-4824,7496 Little Fleur Crossing,Sacramento,CA,94297,Resident,2,12/12/2014,12/12/2016
124,yf-8374,460 Sycamore Road,Boston,MA,2104,Resident,1,8/5/2013,8/5/2014
125,io-5247,2 Warrior Junction,San Francisco,CA,94116,Resident,3,1/7/2015,1/7/2018
126,qc-3077,88184 West Circle,Burbank,CA,91505,Resident,2,6/2/2020,6/2/2022
127,zu-3426,76728 Judy Alley,Boston,MA,2203,Resident,2,4/18/2017,4/18/2019
128,er-3218,7485 Bartelt Circle,Sacramento,CA,94237,Resident,1,7/20/2013,7/20/2014
129,qt-9033,5 Tony Court,Santa Ana,CA,92725,Resident,1,3/2/2012,3/2/2013
130,jr-0902,63 Bluestem Plaza,Sacramento,CA,94273,Resident,1,9/13/2016,9/13/2017
131,lc-3464,0 Lyons Way,Atlanta,GA,31196,Resident,3,6/13/2020,6/13/2023
132,wz-7305,81375 2nd Pass,Atlanta,GA,30380,Resident,3,3/2/2012,3/2/2015
133,lx-8653,77373 Carioca Avenue,Springfield,MA,1129,Resident,2,10/29/2013,10/29/2015
134,wn-7462,8007 Hoffman Junction,Oakland,CA,94627,Resident,3,5/16/2021,5/16/2024
135,fo-8135,9577 Loftsgordon Park,Los Angeles,CA,90050,Resident,2,1/11/2011,1/11/2013
136,ee-2725,0802 Havey Way,Augusta,GA,30919,Resident,3,9/1/2013,9/1/2016
137,kc-1183,124 Miller Trail,Lawrenceville,GA,30045,Resident,1,5/1/2014,5/1/2015
138,oj-1029,95504 Delladonna Alley,San Francisco,CA,94121,Resident,3,12/9/2017,12/9/2020
139,mp-8521,78189 Straubel Terrace,San Francisco,CA,94132,Resident,1,1/14/2019,1/14/2020
140,gs-7452,115 Katie Avenue,Sacramento,CA,95828,Resident,3,10/16/2019,10/16/2022
141,pb-4368,8642 Bluestem Center,Santa Cruz,CA,95064,Resident,3,6/1/2021,6/1/2024
142,rf-1434,052 Clarendon Road,San Francisco,CA,94154,Resident,2,4/21/2018,4/21/2020
143,fj-9993,99496 Montana Trail,Corona,CA,92883,Resident,2,4/13/2019,4/13/2021
144,qx-5158,59260 Sundown Point,San Francisco,CA,94159,Resident,1,12/29/2013,12/29/2014
145,yv-3420,849 Manitowish Plaza,North Hollywood,CA,91606,Resident,1,3/12/2016,3/12/2017
146,ep-1759,44 Lukken Avenue,Riverside,CA,92513,Resident,3,1/20/2014,1/20/2017
147,ru-4589,7193 Morning Avenue,Santa Ana,CA,92705,Resident,1,7/12/2012,7/12/2013
148,ys-0177,8218 Bultman Drive,Fresno,CA,93773,Resident,3,11/4/2013,11/4/2016
149,qv-3604,62 Green Parkway,Santa Barbara,CA,93150,Resident,2,1/25/2012,1/25/2014
150,ys-6900,84081 Sauthoff Street,Boston,MA,2283,Resident,3,6/17/2012,6/17/2015
151,lw-0001,2047 Dottie Plaza,North Hollywood,CA,91606,Resident,2,4/27/2017,4/27/2019
152,tg-6537,41 Springs Court,San Jose,CA,95118,Resident,2,11/6/2011,11/6/2013
153,dd-7023,2 6th Hill,San Francisco,CA,94137,Resident,3,10/11/2013,10/11/2016
154,ii-1010,2 Carpenter Park,Inglewood,CA,90305,Resident,2,4/27/2015,4/27/2017
155,ba-3774,06 Reinke Hill,San Diego,CA,92110,Resident,3,2/26/2010,2/26/2013
156,yo-3266,01 Harbort Lane,Worcester,MA,1610,Resident,1,10/7/2015,10/7/2016
157,pb-3814,82904 1st Junction,Brockton,MA,2305,Resident,1,6/28/2021,6/28/2022
158,ms-6161,898 Chinook Park,Irvine,CA,92619,Resident,1,12/12/2015,12/12/2016
159,av-4104,7 Upham Junction,Riverside,CA,92519,Resident,2,1/25/2013,1/25/2015
160,je-1641,7 Center Plaza,Boston,MA,2216,Resident,2,6/20/2012,6/20/2014
161,xg-1693,909 Evergreen Court,Augusta,GA,30911,Resident,3,8/2/2013,8/2/2016
162,th-0644,6900 Anderson Alley,Alhambra,CA,91841,Resident,3,12/6/2019,12/6/2022
163,ve-3750,03759 4th Terrace,San Diego,CA,92105,Resident,3,1/30/2012,1/30/2015
164,xi-7958,85243 3rd Road,Santa Rosa,CA,95405,Resident,1,2/5/2013,2/5/2014
165,vq-1306,2 Maryland Park,San Jose,CA,95123,Resident,2,2/29/2012,2/28/2014
166,ye-8997,704 8th Road,Berkeley,CA,94705,Resident,1,12/5/2020,12/5/2021
167,rc-9525,69 Ohio Crossing,San Jose,CA,95108,Resident,1,7/3/2012,7/3/2013
168,qc-3998,1 Rigney Drive,San Diego,CA,92145,Resident,1,10/28/2016,10/28/2017
169,rx-7666,3 Porter Park,Bakersfield,CA,93399,Resident,1,8/19/2011,8/19/2012
170,qx-5530,7 Sunnyside Court,Los Angeles,CA,90101,Resident,2,8/7/2015,8/7/2017
171,hr-0190,03880 Thompson Circle,Oakland,CA,94611,Resident,3,10/5/2011,10/5/2014
172,ao-9033,7 Harbort Street,San Jose,CA,95194,Resident,1,1/4/2017,1/4/2018
173,dj-7065,5472 Miller Alley,Atlanta,GA,30356,Resident,2,6/18/2018,6/18/2020
174,pm-9033,9 Thompson Point,Atlanta,GA,31136,Resident,3,7/19/2010,7/19/2013
175,nk-0732,57978 Dayton Point,San Bernardino,CA,92410,Resident,3,11/27/2011,11/27/2014
176,xf-1587,029 Towne Way,Inglewood,CA,90398,Resident,2,3/6/2011,3/6/2013
177,ic-3523,05533 Bonner Street,Fullerton,CA,92640,Resident,1,1/10/2015,1/10/2016
178,tn-6921,0 Dennis Junction,Sacramento,CA,94273,Resident,2,8/15/2016,8/15/2018
179,vk-7100,00 North Crossing,Sacramento,CA,94230,Resident,3,12/27/2013,12/27/2016
180,zl-9613,78 West Court,Huntington Beach,CA,92648,Resident,3,4/14/2020,4/14/2023
181,zd-1376,5 Johnson Plaza,Pomona,CA,91797,Resident,3,8/25/2016,8/25/2019
182,hr-9847,8 Mandrake Place,Atlanta,GA,30368,Resident,2,7/14/2011,7/14/2013
183,cx-8808,81035 Algoma Parkway,San Jose,CA,95133,Resident,2,8/15/2017,8/15/2019
184,dc-1468,71 Nelson Plaza,Sacramento,CA,95838,Resident,3,2/4/2011,2/4/2014
185,fl-0001,501 Chinook Point,Cambridge,MA,2142,Resident,1,5/24/2020,5/24/2021
186,ms-9956,9 Mockingbird Center,San Jose,CA,95138,Resident,1,12/5/2017,12/5/2018
187,bj-5385,0 Logan Crossing,Fresno,CA,93715,Resident,2,6/21/2016,6/21/2018
188,uv-1608,06449 Waywood Lane,Pasadena,CA,91117,Resident,3,8/3/2015,8/3/2018
189,kz-2605,16505 Reindahl Hill,Los Angeles,CA,90076,Resident,1,12/6/2017,12/6/2018
190,fx-1409,6 Aberg Way,Redwood City,CA,94064,Resident,1,6/28/2012,6/28/2013
191,hr-1292,5 Warrior Junction,Boston,MA,2283,Resident,3,5/16/2015,5/16/2018
192,er-0949,09221 Pond Crossing,San Francisco,CA,94137,Resident,2,5/15/2016,5/15/2018
193,yc-2229,04214 Namekagon Point,Bakersfield,CA,93381,Resident,2,2/6/2021,2/6/2023
194,cx-0794,0422 Granby Court,Newton,MA,2162,Resident,2,5/8/2011,5/8/2013
195,dz-1326,41 South Junction,Sacramento,CA,95828,Resident,1,3/3/2020,3/3/2021
196,yr-7321,13572 Russell Junction,Augusta,GA,30905,Resident,3,4/5/2019,4/5/2022
197,ih-5772,32 Onsgard Trail,Los Angeles,CA,90015,Resident,1,3/17/2012,3/17/2013
198,sq-9085,71770 Jackson Plaza,Hayward,CA,94544,Resident,1,12/20/2017,12/20/2018
199,zt-8972,5363 Stone Corner Place,Richmond,CA,94807,Resident,1,12/9/2011,12/9/2012
200,zp-0655,26394 Bunting Hill,Bakersfield,CA,93305,Resident,2,1/11/2020,1/11/2022
201,fc-6608,57669 Stoughton Drive,Los Angeles,CA,90065,Resident,2,6/5/2013,6/5/2015
202,hb-1377,9923 Holy Cross Park,San Diego,CA,92105,Resident,1,9/22/2020,9/22/2021
203,co-1228,8432 Service Street,Los Angeles,CA,90071,Resident,2,8/31/2019,8/31/2021
204,lr-9188,6 2nd Street,San Bernardino,CA,92415,Resident,3,6/26/2013,6/26/2016
205,aq-3181,46 Claremont Street,Palmdale,CA,93591,Resident,1,7/11/2010,7/11/2011
206,kr-5219,34320 8th Plaza,Garden Grove,CA,92645,Resident,1,7/16/2016,7/16/2017
207,nh-8873,555 Esker Circle,Inglewood,CA,90305,Resident,3,4/10/2016,4/10/2019
208,cv-1680,269 Raven Pass,San Diego,CA,92127,Resident,1,5/21/2014,5/21/2015
209,ke-7846,09 Vidon Pass,Atlanta,GA,30351,Resident,3,12/14/2015,12/14/2018
210,oy-6440,23 Hollow Ridge Circle,Marietta,GA,30061,Resident,2,2/28/2019,2/28/2021
211,bd-1301,1 Division Junction,Sacramento,CA,95894,Resident,1,12/25/2017,12/25/2018
212,vn-3225,20847 Garrison Terrace,Brockton,MA,2305,Resident,2,11/8/2011,11/8/2013
213,oy-4624,146 Union Circle,Springfield,MA,1129,Resident,1,8/14/2013,8/14/2014
214,uo-7398,2 Welch Court,Sacramento,CA,95813,Resident,3,12/27/2017,12/27/2020
215,zy-3468,428 Hauk Way,Boston,MA,2283,Resident,3,9/14/2013,9/14/2016
216,wo-3842,3 Jackson Alley,Atlanta,GA,30358,Resident,3,11/16/2013,11/16/2016
217,sf-1081,8 Red Cloud Trail,Augusta,GA,30905,Resident,3,7/7/2013,7/7/2016
218,wt-4081,38134 Grayhawk Parkway,San Francisco,CA,94159,Resident,1,12/17/2020,12/17/2021
219,ed-7803,4 Daystar Pass,Duluth,GA,30096,Resident,1,11/30/2020,11/30/2021
220,qs-1414,18 Anzinger Parkway,San Diego,CA,92176,Resident,1,7/2/2011,7/2/2012
221,la-6408,42 Becker Park,Atlanta,GA,30336,Resident,1,8/6/2013,8/6/2014
222,db-1273,5935 Kenwood Point,Pasadena,CA,91131,Resident,1,1/31/2015,1/31/2016
223,yt-1213,738 Lakeland Plaza,Springfield,MA,1114,Resident,1,9/28/2013,9/28/2014
224,wr-1668,371 Clarendon Point,Cambridge,MA,2142,Resident,3,8/1/2018,8/1/2021
225,os-1248,9 Mandrake Crossing,Los Angeles,CA,90081,Resident,1,6/12/2011,6/12/2012
226,zs-8694,54202 Algoma Street,San Francisco,CA,94110,Resident,1,7/29/2018,7/29/2019
227,gl-9602,675 Gateway Point,Atlanta,GA,30328,Resident,2,8/1/2017,8/1/2019
228,cl-2413,501 Pennsylvania Crossing,Atlanta,GA,30316,Resident,2,11/29/2010,11/29/2012
229,xl-4463,0 Bowman Way,Chico,CA,95973,Resident,1,7/5/2016,7/5/2017
230,or-1520,78127 Bay Alley,Sunnyvale,CA,94089,Resident,2,5/6/2018,5/6/2020
231,vx-4426,54 Colorado Circle,Atlanta,GA,30358,Resident,2,10/18/2017,10/18/2019
232,my-7025,098 Shasta Court,Atlanta,GA,30380,Resident,2,7/28/2015,7/28/2017
233,ud-4455,99 Garrison Pass,Atlanta,GA,30392,Resident,1,10/27/2011,10/27/2012
234,kd-9064,499 Surrey Lane,Sacramento,CA,94257,Resident,1,9/13/2019,9/13/2020
235,ow-3589,550 Blaine Park,Boston,MA,2203,Resident,1,7/15/2012,7/15/2013
236,fx-7103,3 Lyons Hill,Brea,CA,92822,Resident,1,6/20/2016,6/20/2017
237,ph-1284,5647 Farmco Park,San Jose,CA,95128,Resident,1,2/27/2011,2/27/2012
238,od-2963,31 Eastlawn Way,Hayward,CA,94544,Resident,2,1/11/2014,1/11/2016
239,pc-2770,467 School Court,Glendale,CA,91210,Resident,1,5/10/2013,5/10/2014
240,xx-4226,55256 Pearson Lane,San Jose,CA,95118,Resident,1,7/5/2016,7/5/2017
241,bz-6813,980 Rowland Circle,Macon,GA,31210,Resident,1,7/24/2010,7/24/2011
242,km-8524,513 Prairieview Trail,San Rafael,CA,94913,Resident,3,1/17/2018,1/17/2021
243,qg-0951,2353 Paget Plaza,Torrance,CA,90510,Resident,3,6/19/2019,6/19/2022
244,eh-3854,96 Judy Street,Torrance,CA,90510,Resident,3,12/4/2013,12/4/2016
245,iz-5728,31531 Sutteridge Drive,San Diego,CA,92115,Resident,2,10/20/2014,10/20/2016
246,gu-0590,0 Cherokee Pass,Moreno Valley,CA,92555,Resident,3,11/27/2012,11/27/2015
247,my-9838,9 Pierstorff Place,Waltham,MA,2453,Resident,2,1/1/2014,1/1/2016
248,ic-8171,626 Cherokee Crossing,Decatur,GA,30033,Resident,3,9/12/2014,9/12/2017
249,jl-6718,6 Maryland Crossing,Irvine,CA,92710,Resident,1,1/11/2010,1/11/2011
250,yv-2407,16 Northfield Plaza,Irvine,CA,92619,Resident,1,10/6/2010,10/6/2011
251,te-6187,2632 American Ash Park,Sacramento,CA,95865,Resident,2,6/29/2010,6/29/2012
252,hl-1665,6 Golf Course Plaza,Los Angeles,CA,90025,Resident,3,9/11/2015,9/11/2018
253,ip-8368,91272 Coolidge Park,San Bernardino,CA,92405,Resident,1,12/29/2013,12/29/2014
254,ih-0773,581 Gulseth Park,Oakland,CA,94627,Resident,1,12/1/2012,12/1/2013
255,up-7167,8219 Delaware Court,San Diego,CA,92105,Resident,2,10/18/2019,10/18/2021
256,my-7266,2 Surrey Lane,Sacramento,CA,95833,Resident,3,4/23/2015,4/23/2018
257,ta-1952,06 Summit Lane,Decatur,GA,30089,Resident,1,1/11/2019,1/11/2020
258,ty-7198,320 Lillian Street,Irvine,CA,92717,Resident,2,12/26/2013,12/26/2015
259,ml-4467,921 Jay Park,Pasadena,CA,91109,Resident,3,8/6/2012,8/6/2015
260,fd-4264,579 La Follette Alley,Sacramento,CA,95823,Resident,3,3/28/2018,3/28/2021
261,kn-6411,8 North Center,San Bernardino,CA,92424,Resident,1,1/8/2010,1/8/2011
262,iy-3909,629 Sommers Avenue,Stockton,CA,95219,Resident,3,3/8/2014,3/8/2017
263,zq-5017,9535 Texas Court,San Jose,CA,95128,Resident,1,3/8/2015,3/8/2016
264,yl-7472,811 Montana Trail,Savannah,GA,31405,Resident,2,4/11/2020,4/11/2022
265,zg-5560,82 Caliangt Park,Irvine,CA,92612,Resident,2,2/8/2011,2/8/2013
266,er-8503,06725 Armistice Point,Brea,CA,92822,Resident,2,4/16/2010,4/16/2012
267,ao-3988,7 Iowa Center,Atlanta,GA,30358,Resident,2,12/23/2016,12/23/2018
268,ij-0176,7476 Shopko Court,Augusta,GA,30919,Resident,2,1/9/2014,1/9/2016
269,ju-8966,7533 Lyons Hill,Los Angeles,CA,90055,Resident,3,5/15/2017,5/15/2020
270,xe-4571,53 Lunder Hill,Boston,MA,2208,Resident,2,6/7/2015,6/7/2017
271,rj-4758,9 La Follette Point,Concord,CA,94522,Resident,1,8/1/2014,8/1/2015
272,zk-2175,4349 Old Gate Terrace,Columbus,GA,31904,Resident,3,8/21/2017,8/21/2020
273,op-0355,5 Fair Oaks Court,Salinas,CA,93907,Resident,3,9/13/2013,9/13/2016
274,ae-2823,7 Waxwing Drive,Los Angeles,CA,90015,Resident,1,4/26/2019,4/26/2020
275,vp-0417,0820 Duke Plaza,San Francisco,CA,94132,Resident,2,11/2/2015,11/2/2017
276,gi-5580,00 Parkside Center,Los Angeles,CA,90035,Resident,2,5/16/2017,5/16/2019
277,sh-1996,921 Waubesa Park,San Francisco,CA,94126,Resident,1,6/8/2015,6/8/2016
278,zr-0928,2 Northridge Court,Sacramento,CA,95828,Resident,2,3/19/2010,3/19/2012
